index,2024-01-30 00:00:00,2024-01-31 00:00:00,2024-02-01 00:00:00,2024-02-02 00:00:00,2024-02-03 00:00:00,2024-02-04 00:00:00,2024-02-05 00:00:00,2024-02-06 00:00:00,2024-02-07 00:00:00,2024-02-08 00:00:00
Acousticness,0.5413142857142860,0.2089,0.2222807272727270,0.12681666666666700,0.0,0.62505,0.43543846153846200,0.5214105,0.27596028,0.3856108888888890
Danceability,0.6645714285714290,0.6356666666666670,0.4505454545454550,0.5741666666666670,0.0,0.6014,0.6402307692307690,0.51825,0.60768,0.5897777777777780
Energy,0.5094285714285720,0.5343333333333330,0.6806363636363640,0.8128333333333330,0.0,0.40894,0.4458692307692310,0.43425,0.578912,0.524888888888889
Instrumentalness,0.13681398857142900,0.22870333333333300,0.07589818181818180,0.566,0.0,0.7055733500000000,0.2184016596153850,0.1695004,0.2373490792,0.2735746611111110
Valence,0.6158571428571430,0.6316666666666670,0.4438181818181820,0.39116666666666700,0.0,0.5206300000000000,0.5832653846153850,0.3365,0.598164,0.6064333333333330
Mode,0.7142857142857140,0.3333333333333330,0.7272727272727270,1.0,0.0,0.8,0.46153846153846200,0.125,0.56,0.3333333333333330
Speechiness,0.04625714285714290,0.06643333333333330,0.07018181818181820,0.12966666666666700,0.0,0.11819000000000000,0.18427307692307700,0.1617,0.069508,0.10672222222222200
Mood_1,3,4,4,5,4,4,3,3,2,3
Mood_2,3.0,4,3,5,4,2.0,2.0,3.0,3.0,2
